Fund name,Date,NAV
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-06-30,9.6989
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-01,9.7742
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-02,9.8554
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-03,9.8927
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-06,10.0181
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-07,10.0782
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-08,10.0086
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-09,10.0668
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-10,10.0228
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-13,10.0087
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-14,9.9097
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-15,9.9087
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-16,9.9515
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-17,10.0594
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-20,10.1358
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-21,10.2301
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-22,10.2229
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-23,10.2839
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-24,10.2693
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-27,10.1769
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-28,10.2602
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-29,10.2145
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-30,10.1881
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-07-31,10.1846
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-08-03,10.123
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-08-04,10.2504
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-08-05,10.2955
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-08-06,10.3801
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-08-07,10.3819
Groww Aggressive Hybrid Fund  - Regular Plan - Growth option,2020-08-10,10.4551
